objectid,filename,youtubeid,format,local_identifier,title,description,creator,date_created,date,rights_statement,coordinates,coordinate,latitude,longitude,subject,location,provider,repository,archival_collection
kintner:9,kintner:9.jpg,,image/jpeg,kintner_9,"View from Rich Mountain, Annotated",Uncaptioned. | Panorama taken looking East from the Rich Mountain Fire Tower with Sugarland Mountain on left and Cold Spring Knob on right. The fire tower is no longer standing.,"Kintner, Elgin P.","February 5, 1969",1969-02-05,In Copyright,"35.6287, -83.7849 | 35.58065, -83.60822 | 35.60954, -83.47794","35.6287, -83.7849 ",35.6287,-83.7849,"Photography, Panoramic; Geography--Terminology",Great Smoky Mountains (N.C. and Tenn.); Rich Mountain; Cold Spring Knob; Sugarland Mountain,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:32,kintner:32.jpg,,image/jpeg,kintner_32,View along Maddron Bald hike,Uncaptioned. | A view along Maddron Bald hike of Mt. Le Conte or Snag Mountain.,"Kintner, Elgin P.",circa January 1975,1975-01,In Copyright,"35.65435, -83.43672","35.65435, -83.43673",35.65435,-83.43673,"Photography, Panoramic",Great Smoky Mountains (N.C. and Tenn.); Mount Le Conte,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:26,kintner:26.jpg,,image/jpeg,kintner_26,View of Little Shuckstack,"Hike to Shuckstack where there was a little frost. | Panorama taken looking West from the Shuckstack Fire Tower, which is still standing.","Kintner, Elgin P.","February 23, 1974",1974-02-23,In Copyright,"35.48546, -83.81507","35.48546, -83.81508",35.48546,-83.81508,"Photography, Panoramic; Snow",Great Smoky Mountains (N.C. and Tenn.); Shuckstack,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:27,kintner:27.jpg,,image/jpeg,kintner_27,"Panorama of Lake Fontana, Annotated","Hike to Shuckstack where there was a little frost. | View of Lake Fontana taken looking Southeast from Shuckstack Fire Tower, which is still standing.","Kintner, Elgin P.","February 23, 1974",1974-02-23,In Copyright,"35.48546, -83.81507 | 35.42915, -83.64686","35.48546, -83.81507 ",35.48546,-83.81507,"Photography, Panoramic; Geography--Terminology",Great Smoky Mountains (N.C. and Tenn.); Shuckstack; Fontana Lake,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:33,kintner:33.jpg,,image/jpeg,kintner_33,View of Cades Cove,Uncaptioned. | Panorama of Cades Cove from Rich Mountain.,"Kintner, Elgin P.","between January 9 and April 26, 1975",1975-01-09/1975-04-26,In Copyright,"35.59426, -83.84184","35.59426, -83.84185",35.59426,-83.84185,"Photography, Panoramic",Great Smoky Mountains (N.C. and Tenn.); Cades Cove,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:8,kintner:8.jpg,,image/jpeg,kintner_8,View from Rich Mountain,"Uncaptioned. | Panorama taken looking South from the Rich Mountain Fire Tower, which no longer exists, viewing Cold Spring Knob on left, Gregory Bald on right, and Cades Cove below.","Kintner, Elgin P.","circa February 5, 1969",1969-02-05,In Copyright,"35.6287, -83.7849 | 35.58065, -83.60822 | 35.52067, -83.86553 | 35.59426, -83.84184","35.6287, -83.7849 ",35.6287,-83.7849,"Photography, Panoramic",Great Smoky Mountains (N.C. and Tenn.); Rich Mountain; Cold Spring Knob; Gregory Bald; Cades Cove,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:25,kintner:25.jpg,,image/jpeg,kintner_25,View of Little Shuckstack,Hike to Shuckstack where there was a little frost. | Panorama taken looking West from the Shuckstack Fire Tower of the Little Shuckstack and Lake Fontana to the right.,"Kintner, Elgin P.","February 23, 1974",1974-02-23,In Copyright,"35.48546, -83.81507 | 35.42915, -83.64686","35.48546, -83.81507 ",35.48546,-83.81507,"Photography, Panoramic; Snow",Great Smoky Mountains (N.C. and Tenn.); Shuckstack; Fontana Lake,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:31,kintner:31.jpg,,image/jpeg,kintner_31,View from Spence Field,Uncaptioned. | View from Spence Field.,"Kintner, Elgin P.",circa January 1975,1975-01,In Copyright,"35.56259, -83.73212","35.56259, -83.73213",35.56259,-83.73213,"Photography, Panoramic",Great Smoky Mountains (N.C. and Tenn.); Spence Field,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:19,kintner:19.jpg,,image/jpeg,kintner_19,"View from High Rocks, Annotated","View from High Rocks. | Panorama taken looking North from High Rocks Fire Tower, which was removed in the 1980s, viewing Thunderhead of left,  with Silers Bald and The Narrows on right.","Kintner, Elgin P.",February 1973,1973-02,In Copyright,"35.49973, -83.62115 | 35.5687, -83.70628 | 35.56593, -83.56517 | 35.56482, -83.56044","35.49973, -83.62115 ",35.49973,-83.62115,"Photography, Panoramic; Geography--Terminology",Great Smoky Mountains (N.C. and Tenn.); High Rocks; Thunderhead Mountain; Silers Bald; The Narrows,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:18,kintner:18.jpg,,image/jpeg,kintner_18,View of Thunderhead and Clingmans Dome from High Rocks,"View from High Rocks. | Panorama taken looking North from High Rocks Fire tower, which was removed in the 1980s, viewing Thunderhead on left and Clingmans Dome on right.","Kintner, Elgin P.",February 1973,1973-02,In Copyright,"35.49973, -83.62115 | 35.5687, -83.70628 | 35.56287, -83.4985","35.49973, -83.62115 ",35.49973,-83.62115,"Photography, Panoramic",Great Smoky Mountains (N.C. and Tenn.); High Rocks; Thunderhead Mountain; Clingmans Dome,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:30,kintner:30.jpg,,image/jpeg,kintner_30,Looking toward Mount Le Conte,"Thermal inversion, 40 below and 55 on top, looking toward Le Conte.","Kintner, Elgin P.","December 26, 1974",1974-12-26,In Copyright,"35.70926, -83.58711 | 35.65435, -83.43672","35.70926, -83.58711 ",35.70926,-83.58711,"Photography, Panoramic",Great Smoky Mountains (N.C. and Tenn.); Cove Mountain; Mount Le Conte,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:24,kintner:24.jpg,,image/jpeg,kintner_24,View from High Rocks,Uncaptioned.,"Kintner, Elgin P.",February 1973,1973-02,In Copyright,"35.49973, -83.62115","35.49973, -83.62116",35.49973,-83.62116,"Photography, Panoramic",Great Smoky Mountains (N.C. and Tenn.); High Rocks,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
